Trading Day,AAPL,BNTX,BRK-B,CSCO,IYK
349,141.595871,212.8704987,280.1099854,47.84505081,56.45358658
350,142.7129669,205.1231079,279.2099915,47.9259491,56.05874252
351,146.1524353,209.2287292,278.3099976,48.61805725,56.08322906
352,145.4958954,218.1900482,279.7200012,48.22257233,56.06792831
353,143.4479065,228.4442291,277.8999939,48.26750565,55.78633118
354,139.5870819,239.4682007,272.6600037,47.6922493,55.44659042
355,143.2127228,241.9651337,276.8900146,48.1596489,56.08016205
356,142.4777985,256.2163696,279.8800049,48.42930603,56.08934784
357,143.8496704,277.3070374,277.7000122,49.0225296,55.85673523
358,145.574295,278.2742004,278.4899902,49.64272308,56.36788177
359,145.9956512,282.5180054,278.7999878,49.85845184,56.6494751
360,143.8202515,280.2875366,280.7799988,49.68766785,56.32197952
361,142.0662384,309.3526001,278.1000061,49.22926712,56.14750671
362,142.7129669,308.5038147,279.7600098,49.49891281,56.98005295
363,142.9285278,324.0578003,278.2900085,49.76856232,57.05044556
364,142.5954132,335.7627563,278.1400146,49.84046936,57.30755615
365,144.3983917,347.2111206,281.7999878,50.55953598,57.43917465
366,143.9966278,409.0224304,278.7799988,50.05619812,56.77497864
367,144.1044464,399.6268921,280.2099915,50.11911392,56.97698975
368,143.4174652,383.9248657,285.6300049,49.96630859,56.75661087
369,143.3683929,441.3838196,287.230011,49.85845184,57.01371002
370,142.8875275,411.0555115,288.9400024,49.98429108,57.22184372
371,143.1426697,354.4946594,291.2799988,50.208992,57.36264801
372,146.1162262,369.1307983,290.2399902,50.68537521,57.50650024
373,146.3223267,372.3876648,287.8900146,50.75728607,57.66566849
374,148.3046875,338.6149902,289.4500122,50.5865097,57.37489319
375,147.3919983,361.4821167,289.1000061,50.34381866,56.7076416
376,143.6333771,359.2319031,286.3599854,49.57081985,56.45971298
377,143.967041,327.4725647,285.1300049,51.47635651,56.32809067
378,145.4292755,344.1220398,285.269989,52.3302536,56.48419189
379,146.9209595,377.1051941,285.6199951,52.61787415,56.83006668
380,146.8326263,363.3869019,286.019989,53.3189621,56.84843445
381,145.5961304,371.1145325,287.2999878,53.34593582,56.91271591
382,144.7913818,365.1534729,285.269989,53.21110153,56.36483002
383,145.831665,353.7939453,286.6000061,53.04931259,56.82088852
384,150.2674408,340.4901428,285.6600037,53.14818573,57.11472321
385,149.0014954,324.8868408,285.769989,53.04931259,57.09941864
386,149.6687927,328.1535645,285.2600098,53.06729507,57.34121704
387,150.7875824,324.2354431,285.0499878,53.50772476,57.29224777
388,151.4254456,329.9300232,281.8900146,53.40884781,57.18206406
389,153.7709503,342.0791016,278.8999939,52.92348099,56.9463768
390,152.2203522,331.8446655,279.3399963,52.74371719,57.03819656
391,151.1997223,346.7867737,278.6099854,52.67180634,56.98617172
392,146.1947479,344.6253967,277.6000061,52.03362656,56.73823547
393,146.7639313,322.8636475,279.9200134,52.22238159,56.91577148
394,145.3605652,330.5024414,277.2000122,52.01565933,56.66172028
395,146.2536316,350.6061707,278.1799927,51.7370224,56.93719864
396,146.0181122,367.778717,277.5100098,51.53028488,56.86985779
397,143.3389587,354.4847717,276.7600098,51.09884644,56.69232941
398,140.2770844,334.5784607,274.2000122,50.23596191,56.19953918
399,140.7579498,336.8878784,273.1799927,49.66969299,56.03425217
400,143.1328888,334.8251953,274.0700073,49.90338898,56.16893387
401,144.0946198,348.3757019,278.1199951,50.95502853,56.45051956
